"filename", "language", "C++", "XML", "comment", "blank", "total"
"/home/bonychops/CLionProjects/prog_game/.idea/discord.xml", "XML", 0, 7, 0, 0, 7
"/home/bonychops/CLionProjects/prog_game/.idea/misc.xml", "XML", 0, 4, 0, 0, 4
"/home/bonychops/CLionProjects/prog_game/main.cpp", "C++", 59, 0, 0, 18, 77
"/home/bonychops/CLionProjects/prog_game/src/Animator.cpp", "C++", 58, 0, 3, 11, 72
"/home/bonychops/CLionProjects/prog_game/src/Animator.h", "C++", 27, 0, 3, 17, 47
"/home/bonychops/CLionProjects/prog_game/src/Collision.h", "C++", 50, 0, 3, 15, 68
"/home/bonychops/CLionProjects/prog_game/src/CoordinateUtils.h", "C++", 14, 0, 3, 5, 22
"/home/bonychops/CLionProjects/prog_game/src/Define.h", "C++", 8, 0, 3, 6, 17
"/home/bonychops/CLionProjects/prog_game/src/Drawer.h", "C++", 17, 0, 3, 4, 24
"/home/bonychops/CLionProjects/prog_game/src/FieldScene.cpp", "C++", 34, 0, 3, 6, 43
"/home/bonychops/CLionProjects/prog_game/src/FieldScene.h", "C++", 20, 0, 3, 10, 33
"/home/bonychops/CLionProjects/prog_game/src/Image.h", "C++", 86, 0, 5, 29, 120
"/home/bonychops/CLionProjects/prog_game/src/Keyboard.h", "C++", 30, 0, 3, 10, 43
"/home/bonychops/CLionProjects/prog_game/src/KeyboardManager.h", "C++", 28, 0, 3, 9, 40
"/home/bonychops/CLionProjects/prog_game/src/Map.cpp", "C++", 15, 0, 4, 4, 23
"/home/bonychops/CLionProjects/prog_game/src/Map.h", "C++", 27, 0, 3, 10, 40
"/home/bonychops/CLionProjects/prog_game/src/Object.h", "C++", 13, 0, 4, 10, 27
"/home/bonychops/CLionProjects/prog_game/src/ObjectManager.h", "C++", 70, 0, 7, 16, 93
"/home/bonychops/CLionProjects/prog_game/src/Physics.cpp", "C++", 10, 0, 3, 6, 19
"/home/bonychops/CLionProjects/prog_game/src/Physics.h", "C++", 15, 0, 3, 8, 26
"/home/bonychops/CLionProjects/prog_game/src/Player.cpp", "C++", 1, 0, 3, 2, 6
"/home/bonychops/CLionProjects/prog_game/src/Player.h", "C++", 13, 0, 3, 8, 24
"/home/bonychops/CLionProjects/prog_game/src/Point.h", "C++", 7, 0, 3, 4, 14
"/home/bonychops/CLionProjects/prog_game/src/ResourceManager.cpp", "C++", 21, 0, 3, 5, 29
"/home/bonychops/CLionProjects/prog_game/src/ResourceManager.h", "C++", 13, 0, 3, 9, 25
"/home/bonychops/CLionProjects/prog_game/src/SceneManager.h", "C++", 41, 0, 3, 11, 55
"/home/bonychops/CLionProjects/prog_game/src/TimeManager.cpp", "C++", 12, 0, 3, 3, 18
"/home/bonychops/CLionProjects/prog_game/src/TimeManager.h", "C++", 10, 0, 3, 8, 21
"/home/bonychops/CLionProjects/prog_game/src/WindowManager.cpp", "C++", 63, 0, 6, 18, 87
"/home/bonychops/CLionProjects/prog_game/src/WindowManager.h", "C++", 73, 0, 5, 28, 106
"/home/bonychops/CLionProjects/prog_game/src/objects/Block.h", "C++", 31, 0, 3, 15, 49
"Total", "-", 866, 11, 97, 305, 1279
